timestamp,event_type,source_ip,username,status
2026-09-13 09:01:12,LOGIN_FAILED,192.168.1.25,admin,FAILED
2026-09-13 09:01:18,LOGIN_FAILED,192.168.1.25,admin,FAILED
2026-09-13 09:01:24,LOGIN_FAILED,192.168.1.25,admin,FAILED
2026-09-13 09:01:30,LOGIN_FAILED,192.168.1.25,admin,FAILED
2026-09-13 09:01:36,LOGIN_FAILED,192.168.1.25,admin,FAILED
2026-09-13 09:02:01,LOGIN_SUCCESS,192.168.1.25,admin,SUCCESS
2026-09-13 09:15:42,LOGIN_SUCCESS,192.168.1.10,user1,SUCCESS
2026-09-13 09:17:23,LOGIN_FAILED,192.168.1.50,user2,FAILED
2026-09-13 09:20:11,PORT_SCAN,192.168.1.40,,DETECTED
2026-09-13 09:21:04,PORT_SCAN,192.168.1.40,,DETECTED
2026-09-13 09:22:19,PORT_SCAN,192.168.1.40,,DETECTED
2026-09-13 09:35:12,LOGIN_SUCCESS,192.168.1.12,user3,SUCCESS
2026-09-13 09:42:55,LOGIN_FAILED,192.168.1.60,user4,FAILED
2026-09-13 09:43:01,LOGIN_FAILED,192.168.1.60,user4,FAILED
